State,Area
Burundi,Eastern Africa
Comoros,Eastern Africa
Djibouti,Eastern Africa
Eritrea,Eastern Africa
Ethiopia,Eastern Africa
Kenya,Eastern Africa
Madagascar,Eastern Africa
Malawi,Eastern Africa
Mauritius,Eastern Africa
Mayotte,Eastern Africa
Mozambique,Eastern Africa
ReReunion,Eastern Africa
Rwanda,Eastern Africa
Seychelles,Eastern Africa
Somalia,Eastern Africa
South Sudan,Eastern Africa
Uganda,Eastern Africa
Tanzania,Eastern Africa
Zambia,Eastern Africa
Zimbabwe,Eastern Africa
Angola,Middle Africa
Cameroon,Middle Africa
Central African Republic,Middle Africa
Chad,Middle Africa
Congo,Middle Africa
Democratic Republic of the Congo,Middle Africa
Equatorial Guinea,Middle Africa
Gabon,Middle Africa
Sao Tome and Principe,Middle Africa
Algeria,Northern Africa
Egypt,Northern Africa
Libya,Northern Africa
Morocco,Northern Africa
Sudan,Northern Africa
Tunisia,Northern Africa
Western Sahara,Northern Africa
Botswana,Northern Africa
Lesotho,Northern Africa
Namibia,Northern Africa
South Africa,Northern Africa
Swaziland,Northern Africa
Benin,Western Africa
Burkina Faso,Western Africa
Cabo Verde,Western Africa
CoCote d'Ivoire,Western Africa
Gambia,Western Africa
Ghana,Western Africa
Guinea,Western Africa
Guinea-Bissau,Western Africa
Liberia,Western Africa
Mali,Western Africa
Mauritania,Western Africa
Niger,Western Africa
Nigeria,Western Africa
Saint Helena,Western Africa
Senegal,Western Africa
Sierra Leone,Western Africa
Togo,Western Africa
Kazakhstan,Central Asia
Kyrgyzstan,Central Asia
Tajikistan,Central Asia
Turkmenistan,Central Asia
Uzbekistan,Central Asia
China,Eastern Asia
China Hong Kong SAR,Eastern Asia
China Macao SAR,Eastern Asia
North Korea,Eastern Asia
Japan,Eastern Asia
Mongolia,Eastern Asia
South Korea,Eastern Asia
Afghanistan,Southern Asia
Bangladesh,Southern Asia
Bhutan,Southern Asia
India,Southern Asia
Iran,Southern Asia
Maldives,Southern Asia
Nepal,Southern Asia
Pakistan,Southern Asia
Sri Lanka,Southern Asia
Brunei Darussalam,South-Eastern Asia
Cambodia,South-Eastern Asia
Indonesia,South-Eastern Asia
Laos,South-Eastern Asia
Malaysia,South-Eastern Asia
Myanmar,South-Eastern Asia
Philippines,South-Eastern Asia
Singapore,South-Eastern Asia
Thailand,South-Eastern Asia
Timor-Leste,South-Eastern Asia
Viet Nam,South-Eastern Asia
Armenia,Western Asia
Azerbaijan,Western Asia
Bahrain,Western Asia
Cyprus,Western Asia
Georgia,Western Asia
Iraq,Western Asia
Israel,Western Asia
Jordan,Western Asia
Kuwait,Western Asia
Lebanon,Western Asia
Oman,Western Asia
Qatar,Western Asia
Saudi Arabia,Western Asia
State of Palestine,Western Asia
Syrian Arab Republic,Western Asia
Turkey,Western Asia
United Arab Emirates,Western Asia
Yemen,Western Asia
Belarus,Eastern Europe
Bulgaria,Eastern Europe
Czechia,Eastern Europe
Hungary,Eastern Europe
Poland,Eastern Europe
Republic of Moldova,Eastern Europe
Romania,Eastern Europe
Russian Federation,Eastern Europe
Slovakia,Eastern Europe
Ukraine,Eastern Europe
Channel Islands,Northern Europe
